2014-06-21|102.232123|45.32312|34
2014-06-23|102.232123|45.32312|34
2015-06-23 22:22:14|113.382994|23.124541|0.0|65.79287
2015-06-23 22:22:24|113.382994|23.124541|0.0|65.79287
2015-06-23 22:22:34|113.382994|23.124541|0.0|65.79287
2015-06-23 22:22:44|113.382994|23.124541|0.0|65.79287
2015-06-23 22:22:54|113.382994|23.124541|0.0|65.79287
2015-06-23 22:23:04|113.382994|23.124541|0.0|65.79287
2015-06-23 22:23:14|113.382994|23.124541|0.0|65.79287
2015-06-23 22:23:24|113.382994|23.124541|0.0|65.79287
2015-06-23 22:23:34|113.382994|23.124541|0.0|65.79287
2015-06-23 22:23:45|113.382994|23.124541|0.0|65.79287
2015-06-23 22:23:55|113.382994|23.124541|0.0|65.79287
2015-06-23 22:24:05|113.382994|23.124541|0.0|65.79287
2015-06-23 22:24:15|113.382994|23.124541|0.0|65.79287
2015-06-23 22:24:25|113.382994|23.124541|0.0|65.79287
2015-06-23 22:24:35|113.382994|23.124541|0.0|65.79287
2015-06-23 22:24:45|113.382994|23.124541|0.0|65.79287
2015-06-23 22:24:55|113.382994|23.124541|0.0|65.79287
2015-06-23 22:25:05|113.382994|23.124541|0.0|65.79287
2015-06-23 22:25:15|113.382994|23.124541|0.0|65.79287
2015-06-23 22:25:25|113.382994|23.124541|0.0|65.79287
2015-06-23 22:25:35|113.382994|23.124541|0.0|65.79287
2015-06-23 22:25:45|113.382994|23.124541|0.0|65.79287
2015-06-23 22:25:55|113.382994|23.124541|0.0|65.79287
2015-06-23 22:26:05|113.382994|23.124541|0.0|65.79287
2015-06-23 22:26:15|113.382994|23.124541|0.0|65.79287
2015-06-23 22:26:25|113.382994|23.124541|0.0|65.79287
2015-06-23 22:26:35|113.382994|23.124541|0.0|65.79287
2015-06-23 22:26:45|113.382994|23.124541|0.0|65.79287
2015-06-23 22:26:55|113.382994|23.124541|0.0|65.79287
2015-06-23 22:27:05|113.382994|23.124541|0.0|65.79287
2015-06-23 22:27:15|113.382994|23.124541|0.0|65.79287
2015-06-23 22:27:25|113.382994|23.124541|0.0|65.79287
2015-06-23 22:27:35|113.382994|23.124541|0.0|65.79287
2015-06-23 22:27:45|113.382994|23.124541|0.0|65.79287
2015-06-23 22:27:55|113.382994|23.124541|0.0|65.79287
2015-06-23 22:28:05|113.382994|23.124541|0.0|65.79287
2015-06-23 22:28:15|113.382994|23.124541|0.0|65.79287
2015-06-23 22:28:25|113.382994|23.124541|0.0|65.79287
2015-06-23 22:28:35|113.382994|23.124541|0.0|65.79287
2015-06-23 22:28:45|113.382994|23.124541|0.0|65.79287
2015-06-23 22:28:55|113.382994|23.124541|0.0|65.79287
2015-06-23 22:29:05|113.382994|23.124541|0.0|65.79287
2015-06-23 22:29:10|113.382994|23.124541|0.0|65.79287
2015-06-23 22:29:20|113.382994|23.124541|0.0|65.79287
2015-06-23 22:29:30|113.382994|23.124541|0.0|65.79287
2015-06-23 22:29:40|113.382994|23.124541|0.0|65.79287
2015-06-23 22:29:50|113.382994|23.124541|0.0|65.79287
2015-06-23 22:30:00|113.382994|23.124541|0.0|65.79287
2015-06-23 22:30:10|113.382994|23.124541|0.0|65.79287
2015-06-23 22:30:20|113.382994|23.124541|0.0|65.79287
2015-06-23 22:30:30|113.382994|23.124541|0.0|65.79287
2015-06-23 22:30:40|113.382994|23.124541|0.0|65.79287
2015-06-23 22:30:50|113.382994|23.124541|0.0|65.79287
2015-06-23 22:31:00|113.382994|23.124541|0.0|65.79287
2015-06-23 22:31:10|113.382994|23.124541|0.0|65.79287
2015-06-23 22:31:20|113.382994|23.124541|0.0|65.79287
2015-06-23 22:31:30|113.382994|23.124541|0.0|65.79287
2015-06-23 22:31:40|113.382994|23.124541|0.0|65.79287
2015-06-23 22:31:50|113.382994|23.124541|0.0|65.79287
2015-06-23 22:32:00|113.382994|23.124541|0.0|65.79287
2015-06-23 22:32:10|113.382994|23.124541|0.0|65.79287
2015-06-23 22:32:20|113.382994|23.124541|0.0|65.79287
2015-06-23 22:32:30|113.382994|23.124541|0.0|65.79287
2015-06-23 22:32:40|113.382994|23.124541|0.0|65.79287
2015-06-23 22:32:50|113.382994|23.124541|0.0|65.79287
2015-06-23 22:33:00|113.382994|23.124541|0.0|65.79287
2015-06-23 22:33:10|113.382994|23.124541|0.0|65.79287
2015-06-23 22:33:20|113.382994|23.124541|0.0|65.79287
2015-06-23 22:33:30|113.382994|23.124541|0.0|65.79287
2015-06-23 22:33:40|113.382994|23.124541|0.0|65.79287
2015-06-23 22:33:50|113.382994|23.124541|0.0|65.79287
2015-06-23 22:34:00|113.382994|23.124541|0.0|65.79287
2015-06-23 22:34:10|113.382994|23.124541|0.0|65.79287
2015-06-23 22:34:20|113.382994|23.124541|0.0|65.79287
2015-06-23 22:34:30|113.382994|23.124541|0.0|65.79287
2015-06-23 22:34:40|113.382994|23.124541|0.0|65.79287
2015-06-23 22:34:50|113.382994|23.124541|0.0|65.79287
2015-06-23 22:35:00|113.382994|23.124541|0.0|65.79287
2015-06-23 22:40:59|113.382994|23.124541|0.0|65.79287
2015-06-23 22:46:49|113.382994|23.124541|0.0|65.79287
2015-06-23 22:46:59|113.382994|23.124541|0.0|65.79287
2015-06-23 22:47:09|113.382994|23.124541|0.0|65.79287
2015-06-23 22:47:19|113.382994|23.124541|0.0|65.79287
2015-06-23 23:44:08|113.382994|23.124541|0.0|65.79287
2015-06-23 23:44:18|113.382994|23.124541|0.0|65.79287
2015-06-23 23:44:58|113.382994|23.124541|0.0|65.79287
2015-06-23 23:45:08|113.382994|23.124541|0.0|65.79287
2015-06-23 23:45:18|113.382994|23.124541|0.0|65.79287
2015-06-23 23:45:28|113.382994|23.124541|0.0|65.79287
2015-06-23 23:47:09|113.382994|23.124541|0.0|65.79287
2015-06-23 23:47:19|113.382994|23.124541|0.0|65.79287
2015-06-24 00:14:55|113.382796|23.124684|0.0|66.16579
2015-06-24 00:17:10|113.383053|23.124915|0.0|70.742966
2015-06-24 08:27:35|113.383053|23.124915|0.0|70.742966
2015-06-24 08:29:02|113.383053|23.124915|0.0|70.742966
2015-06-24 08:37:38|113.383015|23.124605|0.0|74.12594
2015-06-24 08:38:08|113.383015|23.124605|0.0|74.12594
2015-06-24 08:38:38|113.383015|23.124605|0.0|74.12594
2015-06-24 08:40:31|113.383169|23.12497|0.0|72.86392
2015-06-24 08:43:08|113.383169|23.12497|0.0|72.86392
2015-06-24 08:45:59|113.382927|23.124763|0.0|77.08532
2015-06-24 08:46:15|113.382927|23.124763|0.0|77.08532
2015-06-24 08:46:45|113.382927|23.124763|0.0|77.08532
2015-06-24 08:47:15|113.382927|23.124763|0.0|77.08532
2015-06-24 08:47:45|113.382927|23.124763|0.0|77.08532
2015-06-24 08:48:15|113.382927|23.124763|0.0|77.08532
2015-06-24 08:50:08|113.38284|23.124698|0.0|69.150276
2015-06-24 08:54:23|113.382876|23.124786|0.0|72.62058
2015-06-24 08:57:21|113.382891|23.12473|0.0|68.424385
2015-06-24 09:52:35|113.38318|23.124525|0.0|63.451786
2015-06-24 20:01:49|113.377955|23.122221|0.0|54.862408
2015-06-24 20:02:19|113.377955|23.122221|0.0|54.862408
2015-06-24 20:02:49|113.377955|23.122221|0.0|54.862408
2015-06-24 20:04:39|113.383213|23.125023|0.0|65.09077
2015-06-24 20:05:09|113.383213|23.125023|0.0|65.09077
2015-06-24 20:05:39|113.383213|23.125023|0.0|65.09077
2015-06-24 20:06:09|113.383213|23.125023|0.0|65.09077
2015-06-24 20:06:17|113.383213|23.125023|0.0|65.09077
2015-06-24 20:06:47|113.383213|23.125023|0.0|65.09077
2015-06-24 20:07:17|113.383213|23.125023|0.0|65.09077
2015-06-24 20:07:47|113.383213|23.125023|0.0|65.09077
2015-06-24 20:15:40|113.383293|23.124999|0.0|62.753304
2015-06-24 20:15:49|113.383293|23.124999|0.0|62.753304
2015-06-24 20:16:13|113.383293|23.124999|0.0|62.753304
2015-06-24 20:18:20|113.383293|23.124999|0.0|62.753304
2015-06-24 20:18:31|113.383293|23.124999|0.0|62.753304
